name,n,arg1,arg2,arg3,mean,std
example2_double_sycl_col_Kahan,4194304,2048,2048,64,0.0047227599999999995,0.00039410236730875813
example2_double_sycl_col_Kahan,524288,2048,256,4,0.004227600000000001,0.00030822480531625764
example2_double_sycl_col_Kahan,536870912,65536,8192,64,0.2967915,0.00445346006848974
example2_double_sycl_col_Kahan,65536,256,256,4,0.00411306,0.00022630072190493302
example2_double_sycl_col_Kahan,67108864,16384,4096,8,0.0367909,0.0006739238814281519
example2_double_sycl_col_Kahan,8388608,2048,4096,64,0.0052330200000000006,0.00024706410718925673
example2_double_sycl_col_neumaier,1048576,4096,256,8,0.0044287,0.00023293138606088432
example2_double_sycl_col_neumaier,131072,128,1024,8,0.0042812,0.0002769042419026358
example2_double_sycl_col_neumaier,134217728,8192,16384,4,0.07333954000000001,0.0010874808224440873
example2_double_sycl_col_neumaier,16777216,16384,1024,8,0.00847612,0.00026974603626676836
example2_double_sycl_col_neumaier,2097152,4096,512,8,0.00468026,0.0003479754747398271
example2_double_sycl_col_neumaier,262144,1024,256,4,0.00434976,0.00021077742976409784
example2_double_sycl_col_neumaier,268435456,16384,16384,4,0.14965648,0.0017937115691964982
example2_double_sycl_col_neumaier,32768,256,128,16,0.00423236,0.00013296612427261923
example2_double_sycl_col_neumaier,33554432,4096,8192,64,0.01745782,0.0009201869971891136
example2_double_sycl_col_neumaier,4194304,4096,1024,32,0.00487176,0.0003628655544581833
example2_double_sycl_col_neumaier,524288,1024,512,32,0.00442214,0.00022402368770525408
example2_double_sycl_col_neumaier,536870912,65536,8192,64,0.29617784,0.0037229103677809067
example2_double_sycl_col_neumaier,65536,256,256,16,0.00428038,0.00015741079624825667
example2_double_sycl_col_neumaier,67108864,32768,2048,4,0.03667784,0.0006585931933186928
example2_double_sycl_col_neumaier,8388608,4096,2048,32,0.00536058,0.0002642596195611662
example2_double_sycl_row,1048576,2048,512,32,0.00901656,0.0018259215527329467
example2_double_sycl_row,131072,1024,128,16,0.00476004,0.0004092196635808505
example2_double_sycl_row,134217728,16384,8192,128,0.39931828,0.03166016249010091
example2_double_sycl_row,16777216,8192,2048,64,0.044918519999999997,0.00222305493280884
example2_double_sycl_row,2097152,4096,512,32,0.010849560000000001,0.00197386146113528
example2_double_sycl_row,262144,2048,128,16,0.006566959999999999,0.0007269198074964064
example2_double_sycl_row,268435456,32768,8192,128,0.8412714200000001,0.11558732592076812
